name,latitude,longitude,neighbors
LIDL-LITIJSKA CESTA,46.047689,14.547416,"['ŠTEPANJSKO NASELJE 1-JAKČEVA ULICA', 'POVŠETOVA - KAJUHOVA']"
ŠPORTNI CENTER STOŽICE,46.08259,14.52016,"['BS4-STOŽICE', 'LIDL - VOJKOVA CESTA']"
ŠPICA,46.040213,14.512044,"['DOLENJSKA C. - STRELIŠČE', 'ROŠKA - STRELIŠKA']"
ROŠKA - STRELIŠKA,46.045,14.51846,"['POLJANSKA-POTOČNIKOVA', 'AMBROŽEV TRG']"
BAVARSKI DVOR,46.05682,14.50551,"['MIKLOŠIČEV PARK', 'TRG OF-KOLODVORSKA UL.']"
STARA CERKEV,46.06342,14.494588,"['TIVOLI', 'KINO ŠIŠKA']"
SITULA,46.059433,14.52051,"['SAVSKO NASELJE 1-ŠMARTINSKA CESTA', 'MASARYKOVA DDC']"
ILIRSKA ULICA,46.053144,14.513479,"['AMBROŽEV TRG', 'GH ŠENTPETER-NJEGOŠEVA C.']"
LIDL - RUDNIK,46.020012,14.532479,"['SUPERNOVA LJUBLJANA - RUDNIK', 'RAKOVNIK']"
KOPALIŠČE KOLEZIJA,46.042867,14.495239,"['BARJANSKA C.-CENTER STAREJŠIH TRNOVO', 'TRG MDB']"
POVŠETOVA - KAJUHOVA,46.051512,14.539272,"['ŠTEPANJSKO NASELJE 1-JAKČEVA ULICA', 'HOFER-KAJUHOVA']"
DUNAJSKA C.-PS MERCATOR,46.074193,14.511134,"['VOKA - SLOVENČEVA', 'PLEČNIKOV STADION']"
CITYPARK,46.068805,14.546257,"['BTC CITY/DVORANA A', 'BTC CITY ATLANTIS']"
KOPRSKA ULICA,46.033408,14.482468,"['GERBIČEVA - ŠPORTNI PARK SVOBODA', 'ANTONOV TRG']"
LIDL - VOJKOVA CESTA,46.07589,14.52011,"['DUNAJSKA C.-PS MERCATOR', 'ŠPORTNI CENTER STOŽICE']"
POLJANSKA-POTOČNIKOVA,46.048982,14.522709,"['GH ŠENTPETER-NJEGOŠEVA C.', 'AMBROŽEV TRG']"
POVŠETOVA-GRABLOVIČEVA,46.051863,14.530349,"['ZALOŠKA C.-GRABLOVIČEVA C.', 'TRŽNICA MOSTE']"
PARK NAVJE-ŽELEZNA CESTA,46.06361,14.51315,"['DUNAJSKA C.-PS PETROL', 'SAVSKO NASELJE 2-LINHARTOVA CESTA']"
ZALOG,46.06043,14.613797,"['HOFER - POLJE', 'POLJE']"
CESTA NA ROŽNIK,46.053241,14.486206,"['ROŽNA DOLINA-ŠKRABČEVA UL.', 'TRŽAŠKA C.-ILIRIJA']"
HOFER-KAJUHOVA,46.056405,14.540901,"['ŠTEPANJSKO NASELJE 1-JAKČEVA ULICA', 'TRŽNICA MOSTE']"
DUNAJSKA C.-PS PETROL,46.065136,14.509112,"['LIDL BEŽIGRAD', 'PARK NAVJE-ŽELEZNA CESTA']"
STUDENEC,46.054615,14.576031,"['POLJE', 'HOFER - POLJE']"
PARKIRIŠČE NUK 2-FF,46.046377,14.501256,"['BREG', 'GRUDNOVO NABREŽJE-KARLOVŠKA C.']"
BRATOVŠEVA PLOŠČAD,46.08929,14.513751,"['BS4-STOŽICE', 'ŠPORTNI CENTER STOŽICE']"
KONGRESNI TRG-ŠUBIČEVA ULICA,46.050388,14.504623,"['PREŠERNOV TRG-PETKOVŠKOVO NABREŽJE', 'POGAČARJEV TRG-TRŽNICA']"
BS4-STOŽICE,46.086761,14.514151,"['BRATOVŠEVA PLOŠČAD', 'ŠPORTNI CENTER STOŽICE']"
GERBIČEVA - ŠPORTNI PARK SVOBODA,46.039384,14.485458,"['TRŽAŠKA C.-ILIRIJA', 'ANTONOV TRG']"
ŽIVALSKI VRT,46.052454,14.472149,"['VIŠKO POLJE', 'TEHNOLOŠKI PARK']"
VOKA - SLOVENČEVA,46.075207,14.504734,"['LEK - VEROVŠKOVA', 'DUNAJSKA C.-PS MERCATOR']"
BTC CITY/DVORANA A,46.065297,14.543996,"['BTC CITY ATLANTIS', 'CITYPARK']"
TRNOVO,46.03784,14.50001,"['BARJANSKA C.-CENTER STAREJŠIH TRNOVO', 'KOPALIŠČE KOLEZIJA']"
P+R BARJE,46.02749,14.49958,"['TRNOVO', 'KOPRSKA ULICA']"
ROŽNA DOLINA-ŠKRABČEVA UL.,46.051439,14.49273,"['TRG MDB', 'CESTA NA ROŽNIK']"
KINO ŠIŠKA,46.06928,14.48971,"['MERCATOR MARKET - CELOVŠKA C. 163', 'STARA CERKEV']"
BRODARJEV TRG,46.054398,14.553319,"['PREGLOV TRG', 'ŠTEPANJSKO NASELJE 1-JAKČEVA ULICA']"
ZALOŠKA C.-GRABLOVIČEVA C.,46.05441,14.52978,"['POVŠETOVA-GRABLOVIČEVA', 'TRŽNICA MOSTE']"
DOLENJSKA C. - STRELIŠČE,46.038866,14.517605,"['ŠPICA', 'RAKOVNIK']"
ŠTEPANJSKO NASELJE 1-JAKČEVA ULICA,46.053047,14.545125,"['POVŠETOVA - KAJUHOVA', 'HOFER-KAJUHOVA']"
SOSESKA NOVO BRDO,46.045617,14.462281,"['TEHNOLOŠKI PARK', 'VIŠKO POLJE']"
TRŽNICA KOSEZE,46.074315,14.475483,"['ALEJA - CELOVŠKA CESTA', 'DRAVLJE']"
ALEJA - CELOVŠKA CESTA,46.077302,14.482581,"['DRAVLJE', 'MERCATOR MARKET - CELOVŠKA C. 163']"
MERCATOR CENTER ŠIŠKA,46.087079,14.475439,"['PRUŠNIKOVA', 'DRAVLJE']"
GH ŠENTPETER-NJEGOŠEVA C.,46.05257,14.51928,"['AMBROŽEV TRG', 'ILIRSKA ULICA']"
HOFER - POLJE,46.053718,14.589284,"['POLJE', 'STUDENEC']"
VIŠKO POLJE,46.046189,14.469037,"['SOSESKA NOVO BRDO', 'TEHNOLOŠKI PARK']"
BONIFACIJA,46.039641,14.472664,"['ANTONOV TRG', 'P + R DOLGI MOST']"
P + R DOLGI MOST,46.037003,14.465229,"['BONIFACIJA', 'SOSESKA NOVO BRDO']"
DRAVLJE,46.07984,14.479952,"['ALEJA - CELOVŠKA CESTA', 'TRŽNICA KOSEZE']"
POLJE,46.05722,14.583537,"['HOFER - POLJE', 'STUDENEC']"
SUPERNOVA LJUBLJANA - RUDNIK,46.021586,14.536745,"['LIDL - RUDNIK', 'RAKOVNIK']"
SREDNJA FRIZERSKA ŠOLA,46.080522,14.491439,"['ALEJA - CELOVŠKA CESTA', 'LEK - VEROVŠKOVA']"
TRG OF-KOLODVORSKA UL.,46.057421,14.510265,"['MASARYKOVA DDC', 'VILHARJEVA CESTA']"
TRG MDB,46.047565,14.495687,"['PARKIRIŠČE NUK 2-FF', 'ROŽNA DOLINA-ŠKRABČEVA UL.']"
TRŽAŠKA C.-ILIRIJA,46.044629,14.486699,"['GERBIČEVA - ŠPORTNI PARK SVOBODA', 'KOPALIŠČE KOLEZIJA']"
PREŠERNOV TRG-PETKOVŠKOVO NABREŽJE,46.051367,14.506542,"['POGAČARJEV TRG-TRŽNICA', 'KONGRESNI TRG-ŠUBIČEVA ULICA']"
MERCATOR MARKET - CELOVŠKA C. 163,46.073264,14.485942,"['ALEJA - CELOVŠKA CESTA', 'KINO ŠIŠKA']"
SAVSKO NASELJE 2-LINHARTOVA CESTA,46.064546,14.518013,"['PARK NAVJE-ŽELEZNA CESTA', 'VOJKOVA - GASILSKA BRIGADA']"
BREG,46.046498,14.505148,"['GRUDNOVO NABREŽJE-KARLOVŠKA C.', 'PARKIRIŠČE NUK 2-FF']"
BTC CITY ATLANTIS,46.063081,14.547851,"['BTC CITY/DVORANA A', 'CITYPARK']"
IKEA,46.06488,14.53833,"['BTC CITY/DVORANA A', 'ŠMARTINSKI PARK']"
MIKLOŠIČEV PARK,46.054168,14.50706,"['PREŠERNOV TRG-PETKOVŠKOVO NABREŽJE', 'BAVARSKI DVOR']"
BARJANSKA C.-CENTER STAREJŠIH TRNOVO,46.04081,14.49951,"['TRNOVO', 'KOPALIŠČE KOLEZIJA']"
LEK - VEROVŠKOVA,46.076856,14.500222,"['VOKA - SLOVENČEVA', 'SREDNJA FRIZERSKA ŠOLA']"
AMBROŽEV TRG,46.049877,14.516308,"['GH ŠENTPETER-NJEGOŠEVA C.', 'ILIRSKA ULICA']"
VOJKOVA - GASILSKA BRIGADA,46.068727,14.516858,"['SAVSKO NASELJE 2-LINHARTOVA CESTA', 'PLEČNIKOV STADION']"
RAKOVNIK,46.036284,14.522948,"['DOLENJSKA C. - STRELIŠČE', 'ŠPICA']"
PREGLOV TRG,46.054554,14.55908,"['BRODARJEV TRG', 'ŠTEPANJSKO NASELJE 1-JAKČEVA ULICA']"
PLEČNIKOV STADION,46.06942,14.51052,"['DUNAJSKA C.-PS PETROL', 'VOJKOVA - GASILSKA BRIGADA']"
